warehouse_id,ssu_id,expect_num,order_num,order_money,unit_price,ssu_expect_sum,ssu_warehouse_num,warehouse_order_sum,warehouse_company_num,warehouse_order_money,warehouse_ssu_num,act_type,is_act,dayofweek,month,monthinyear,dayinmonth,expect_num_1d,expect_num_r_1d,order_num_1d,order_num_r_1d,order_money_1d,order_money_r_1d,unit_price_1d,unit_price_r_1d,ssu_expect_sum_1d,ssu_expect_sum_r_1d,ssu_warehouse_num_1d,ssu_warehouse_num_r_1d,warehouse_order_sum_1d,warehouse_company_num_1d,warehouse_order_money_1d,warehouse_ssu_num_1d,expect_num_2d,expect_num_r_2d,order_num_2d,order_num_r_2d,order_money_2d,order_money_r_2d,unit_price_2d,unit_price_r_2d,ssu_expect_sum_2d,ssu_expect_sum_r_2d,ssu_warehouse_num_2d,ssu_warehouse_num_r_2d,warehouse_order_sum_2d,warehouse_company_num_2d,warehouse_order_money_2d,warehouse_ssu_num_2d
4,368595,50,45,5947.0,118.93,50,1,2534,2316,365758.225,454,0.0,0.0,3,1,0,0,-11.0,-0.22,-9.0,-0.2,-1129.0,-0.18984361863124263,2.930000000000007,0.024636340704616216,-11.0,-0.22,0.0,0.0,-487.0,-416.0,-247086.5,2.0,-16.0,-0.32,-14.0,-0.3111111111111111,-1709.0,-0.2873717840928199,2.930000000000007,0.024636340704616216,-16.0,-0.32,0.0,0.0,-61.0,-60.0,490.5099999999511,10.0
4,368595,43,38,5117.0,119.0,43,1,2241,2067,322856.56,451,0.0,0.0,4,1,0,0,-7.0,-0.16279069767441862,-7.0,-0.18421052631578946,-830.0,-0.16220441665038107,0.06999999999999318,0.0005882352941175898,-7.0,-0.16279069767441862,0.0,0.0,-293.0,-249.0,-42901.66499999998,-3.0,-18.0,-0.4186046511627907,-16.0,-0.42105263157894735,-1959.0,-0.38284150869650185,3.0,0.025210084033613446,-18.0,-0.4186046511627907,0.0,0.0,-780.0,-665.0,-289988.165,-1.0
4,368595,30,26,3628.0,120.92,30,1,2250,2070,314532.86,444,0.0,0.0,5,1,0,0,-13.0,-0.43333333333333335,-12.0,-0.46153846153846156,-1489.0,-0.4104189636163175,1.9200000000000017,0.015878266622560384,-13.0,-0.43333333333333335,0.0,0.0,9.0,3.0,-8323.700000000012,-7.0,-20.0,-0.6666666666666666,-19.0,-0.7307692307692307,-2319.0,-0.6391951488423374,1.9899999999999949,0.016457161759841174,-20.0,-0.6666666666666666,0.0,0.0,-284.0,-246.0,-51225.36499999999,-10.0
4,368595,41,34,4961.0,121.0,41,1,2558,2305,346472.62,446,0.0,0.0,6,1,0,0,11.0,0.2682926829268293,8.0,0.23529411764705882,1333.0,0.26869582745414233,0.0799999999999983,0.0006611570247933744,11.0,0.2682926829268293,0.0,0.0,308.0,235.0,31939.76000000001,2.0,-2.0,-0.04878048780487805,-4.0,-0.11764705882352941,-156.0,-0.031445273130417256,2.0,0.01652892561983471,-2.0,-0.04878048780487805,0.0,0.0,317.0,238.0,23616.059999999998,-5.0
4,368595,48,38,5808.0,121.0,48,1,2440,2210,362432.33,431,0.0,0.0,0,1,0,1,7.0,0.14583333333333334,4.0,0.10526315789473684,847.0,0.14583333333333334,0.0,0.0,7.0,0.14583333333333334,0.0,0.0,-118.0,-95.0,15959.710000000021,-15.0,18.0,0.375,12.0,0.3157894736842105,2180.0,0.3753443526170799,0.0799999999999983,0.0006611570247933744,18.0,0.375,0.0,0.0,190.0,140.0,47899.47000000003,-13.0
4,368595,45,37,5445.0,121.0,45,1,2439,2232,343805.365,434,0.0,0.0,1,1,0,1,-3.0,-0.06666666666666667,-1.0,-0.02702702702702703,-363.0,-0.06666666666666667,0.0,0.0,-3.0,-0.06666666666666667,0.0,0.0,-1.0,22.0,-18626.965000000026,3.0,4.0,0.08888888888888889,3.0,0.08108108108108109,484.0,0.08888888888888889,0.0,0.0,4.0,0.08888888888888889,0.0,0.0,-119.0,-73.0,-2667.2550000000047,-12.0
4,368595,36,33,4356.0,121.0,36,1,2399,2193,329471.2,438,0.0,0.0,2,1,0,1,-9.0,-0.25,-4.0,-0.12121212121212122,-1089.0,-0.25,0.0,0.0,-9.0,-0.25,0.0,0.0,-40.0,-39.0,-14334.164999999979,4.0,-12.0,-0.3333333333333333,-5.0,-0.15151515151515152,-1452.0,-0.3333333333333333,0.0,0.0,-12.0,-0.3333333333333333,0.0,0.0,-41.0,-17.0,-32961.130000000005,7.0
4,368595,56,48,6776.0,121.0,56,1,2374,2175,359466.675,462,0.0,0.0,3,1,0,1,20.0,0.35714285714285715,15.0,0.3125,2420.0,0.35714285714285715,0.0,0.0,20.0,0.35714285714285715,0.0,0.0,-25.0,-18.0,29995.474999999977,24.0,11.0,0.19642857142857142,11.0,0.22916666666666666,1331.0,0.19642857142857142,0.0,0.0,11.0,0.19642857142857142,0.0,0.0,-65.0,-57.0,15661.309999999998,28.0
4,368595,35,33,4235.0,121.0,35,1,2215,2042,310361.03,442,0.0,0.0,4,1,0,1,-21.0,-0.6,-15.0,-0.45454545454545453,-2541.0,-0.6,0.0,0.0,-21.0,-0.6,0.0,0.0,-159.0,-133.0,-49105.64499999996,-20.0,-1.0,-0.02857142857142857,0.0,0.0,-121.0,-0.02857142857142857,0.0,0.0,-1.0,-0.02857142857142857,0.0,0.0,-184.0,-151.0,-19110.169999999984,4.0
4,368595,22,21,2662.0,121.0,22,1,2050,1902,288186.8,441,0.0,0.0,5,1,0,1,-13.0,-0.5909090909090909,-12.0,-0.5714285714285714,-1573.0,-0.5909090909090909,0.0,0.0,-13.0,-0.5909090909090909,0.0,0.0,-165.0,-140.0,-22174.23000000004,-1.0,-34.0,-1.5454545454545454,-27.0,-1.2857142857142858,-4114.0,-1.5454545454545454,0.0,0.0,-34.0,-1.5454545454545454,0.0,0.0,-324.0,-273.0,-71279.875,-21.0
